WikidataID,itemLabel
Q5100405,CCDC
Q5100405,China CDC
Q5333114,Wildlife Trust
Q5476534,Fox and Friends
Q5606534,Gregg S Gonsalves
Q5606534,Gregg S. Gonsalves
Q5606534,G Gonsalves
Q5606534,G. Gonsalves
Q5606534,"Gonsalves, G."
Q5611155,Group Health Research Institute
Q5611155,KPWHRI
Q6768777,Mark B. McClellan
Q6768777,Mark Barr McClellan
Q7173106,Mayor Pete
Q7173106,Peter Buttigieg
Q7173106,Peter Paul Montgomery Buttigieg
Q3336879,NFL Players Association
Q3359737,Plos Negl. Trop. Dis.
Q3359737,Plos Neglect. Trop. Dis.
Q3359737,PLoS Neglected Tropical Diseases
Q3359737,PLOS NTDs
Q3437091,Robin L. Kelly
Q3437091,Robin Lynne Kelly
Q3466996,Eric Michael Swalwell
Q3466996,"Eric Michael Swalwell, Jr."
Q3606816,Ardern
Q3606816,Jacinda Kate Laurell Ardern
Q3811106,Julie L. Gerberding
Q3811106,Julie Louise Gerberding
Q4051141,J Infect Dis
Q4051141,Journal of Infectious Diseases
Q4743356,Chemical Manufacturers' Association
Q4743356,Manufacturing Chemists' Association
Q4744423,AMSA
Q4960712,Brenda L. Lawrence
Q4960712,Brenda Lulenar Lawrence
Q7595813,Selena Montgomery
Q7595813,Stacey Y. Abrams
Q7595813,Stacey Yvonne Abrams
Q7887528,Blood Systems
Q7887528,United Blood Services
Q7895888,UNMC
Q8017185,William R. Brody
Q10853588,Kamala D. Harris
Q10853588,Kamala Devi Harris
Q10853588,Momala
Q13562359,Ayanna Soyini Pressley
Q15724248,Lancet Infectious Diseases
Q15724248,The lancet. Infectious diseases
Q15944807,Institute of Zoology
Q15944807,IOZ
Q15944807,IOZCAS
Q16192221,Benjamin Eric Sasse
Q16192221,Benjamin Sasse
Q16192221,Benjamin E. Sasse
Q16654806,camel flu
Q16654806,MERS
Q16654806,Middle Eastern Respiratory Syndrome
Q18631823,Ashley R. Parker
Q18631823,Ashley Rebecca Parker
Q18684027,Amata Catherine Coleman Radewagen
Q18684027,Aumua Amata
Q18684027,Aumua Amata Coleman Radewagen
Q18684027,Amata Radewagen
Q20657082,Jonathan David LaPook
Q23950132,Donnelly
Q23950132,C A Donnelly
Q23950132,C Donnelly
Q23950132,C. A. Donnelly
Q23950132,C. Donnelly
Q23950132,Christi A Donnelly
Q23950132,Christl A Donnelly
Q23950132,Christl A. Donnelly
Q23950132,Christl Donnelly
Q23950132,Donnelly C
Q23950132,Donnelly C.
Q23950132,Donnelly C. A.
Q23950132,Donnelly CA
Q27133033,CEPI
Q27133033,Cepi
Q30255710,CNCBD
Q30355862,Eric M. Ueland
Q43176170,Shi Z
Q43176170,Shi Z L
Q43176170,Shi Zheng-Li
Q43176170,Zhengli Shi
Q55223040,AOC
Q55223040,Alexandra Ocasio-Cortez
Q55223040,Alexandria Ocasio
Q55223040,Alexandria Ocasio Cortez
Q55223040,Ocasio Cortez
Q55223040,Ocasio-Cortez
Q55715275,buzzfeednews.com
Q66732898,P. Daszak
Q70058728,com.apple.podcasts
Q70058728,Podcasts
Q70058728,Podcasts (software)
Q70058728,podcasts.apple.com
Q5100405,Chinese Center for Disease Control and Prevention
Q160157,Joe Lieberman
Q3811106,Julie Gerberding
Q380441,Scooter Libby
Q8017185,William Ralph Brody
Q106692,Eckard Wimmer
Q4743356,American Chemistry Council
Q11699,Vice President of the United States
Q11696,President of the United States
Q16654806,Middle East respiratory syndrome
Q679041,Robert Koch Institute
Q45134831,New England Medical Center
Q1287852,Lou Dobbs
Q743162,Tucker Carlson
Q20657082,Jonathan LaPook
Q66459216,Chikwe Ihekweazu
Q194419,Richard Branson
Q183058,Alan Dershowitz
Q151796,Tzipi Livni
Q202209,Giuliano Amato
Q319189,Jeffrey Sachs
Q5001792,Business Roundtable
Q92759,Larry Ellison
Q11351111,Laurie Garrett
Q1424562,Francis V. Chisari
Q180589,Boris Johnson
Q474153,Economist Group
Q16194346,Peter Staley
Q5606534,Gregg Gonsalves
Q6117174,Jackson Institute for Global Affairs
Q4768635,Anne McElvoy
Q44306,Salman Rushdie
Q151231,Annie Lennox
Q192762,Darren Aronofsky
Q1176577,David Sedaris
Q269927,David Mamet
Q465663,Ursula Burns
Q57311,Juan Manuel Santos
Q3606816,Jacinda Ardern
Q7173106,Pete Buttigieg
Q1591889,Walgreens
Q3336879,National Football League Players Association
Q1658262,Il Sole 24 Ore
Q43355,Nature Reviews Immunology
Q26446,Whitefish
Q629973,John Calipari
Q318503,Mark Cuban
Q258662,Oliver Sacks
Q195668,Queen Mary University of London
Q6768777,Mark McClellan
Q193727,Johns Hopkins University
Q469115,Lucille Roybal-Allard
Q168592,Jaime Herrera Beutler
Q5333114,EcoHealth Alliance
Q18631823,Ashley Parker
Q7887528,Vitalant
Q1130172,Mayo Clinic
Q16192221,Ben Sasse
Q351330,Mitch Daniels
Q55223040,Alexandria Ocasio-Cortez
Q3466996,Eric Swalwell
Q7595813,Stacey Abrams
Q1269048,Donna Brazile
Q465597,Gretchen Carlson
Q484605,Christine Lagarde
Q266611,Ann Coulter
Q1289889,Jim Clyburn
Q18978140,Pramila Jayapal
Q2036942,Ted Cruz
Q47216,Condoleezza Rice
Q607,Michael Bloomberg
Q11668,Nikki Haley
Q1655924,George Stephanopoulos
Q482493,Gimpo International Airport
Q194316,Suvarnabhumi Airport
Q14295,Seattle–Tacoma International Airport
Q58691,Maricopa County
Q601091,Wuhan Tianhe International Airport
Q623452,Algiers Houari Boumediene Airport
Q174764,Yangon International Airport
Q525486,Macau International Airport
Q1198791,Hamad International Airport
Q821750,OR Tambo International Airport
Q643562,Abu Dhabi International Airport
Q193439,Dubai International Airport
Q214861,Hartsfield–Jackson Atlanta International Airport
Q24867828,Air Seoul
Q747296,Jianghan District
Q30355862,Eric Ueland
