WikidataID,itemLabel,sitelinks
Q5489289,Frank Ruggiero,1.0
Q2054872,Cameron Munter,6.0
Q105667,Catherine Ashton,58.0
Q311211,Timothy Geithner,35.0
Q57673,Nouri al-Maliki,60.0
Q170581,Nancy Pelosi,92.0
Q43944,Hamid Karzai,105.0
Q5300269,Doug Band,3.0
Q6986921,Neera Tanden,21.0
Q44329,Bashar al-Assad,128.0
Q1317,Osama bin Laden,162.0
Q311205,Chen Guangcheng,33.0
Q10390,John McCain,125.0
Q57741,Salam Fayyad,33.0
Q82437552,Simon Henshaw,6.0
Q58160,Maite Nkoana-Mashabane,19.0
Q212979,Robert Gates,54.0
Q26703276,Jennifer Klein,1.0
Q34105,Hosni Mubarak,132.0
Q13133,Michelle Obama,117.0
Q374338,Stanley A. McChrystal,25.0
Q16196386,Burns Strider,1.0
Q19878,Muammar Gaddafi,167.0
Q16186345,Hugo Llorens,2.0
Q17293,His Holiness the Dalai Lama 14 Tendzin Gyatso,158.0
Q3291020,Maria Otero,6.0
Q174214,Cherie Blair,25.0
Q6559125,Lissa Muscatine,1.0
Q7204,Middle East,215.0
Q85,Cairo,241.0
Q9531,BBC,125.0
Q37470,United Nations Security Council,117.0
Q32835,National Transitional Council,45.0
Q851756,United States National Security Council,28.0
Q155654,International Security Assistance Force,49.0
Q40469,Associated Press,78.0
Q47423,United Nations General Assembly,100.0
Q166032,The Washington Post,90.0
Q8683,Cold War,182.0
Q65358,Gallup,24.0
Q42418,Taliban,128.0
Q48525,Federal Government of the United States of America,53.0
Q26,Northern Ireland,199.0
Q2606469,Armenia–Turkey relations,17.0
Q458,European Union,287.0
Q188413,Newsweek,50.0
Q21578,Princeton University,94.0
Q38799,Hamas,114.0
Q1070940,Asia-Pacific,44.0
Q23522,Balkans,170.0
Q19771,G20,94.0
Q1065,United Nations,277.0
Q12585,Latin America,153.0
Q41053,Hezbollah,109.0
Q33761,Arab Spring,105.0
Q58198,Ahmet Davutoğlu,84.0
Q81299,Organization for Security and Co-operation in Europe,86.0
Q10686,Belfast,151.0
Q929154,Brookings Institution,21.0
Q170315,Abbottabad,62.0
Q152220,Kurdistan Workers' Party,75.0
Q362,World War II,257.0
Q1189483,Dennis Ross,12.0
Q5838,Kabul,197.0
Q204344,World Food Programme,75.0
Q1218,Jerusalem,268.0
Q573246,Dr. Fauei,
Q573246,Doctor Fauci,
Q7815868,Thomas R. Frieden,
Q28025108,Dr VAN KERKHOVE,
Q573246,Fauci,
Q22686,Trump,
Q2522410,"Dzau, Victor J.",
Q28595120,Gashumba Diane,
Q441076,Skvortsova Veronika,
Q6932386,Pate Muhamed,
Q573246,"Fauci, MD Director",
Q63302442,"Mascola, John",
Q573246,"Dr, Fauci",
Q7349114,Dr. Redfield,
Q573246,Mr. Fauci,
Q573246,"Faucl, Anthony",
Q6832389,"Gottesman, Michael",
Q573246,Dr. Anthony S. Fauci,
Q573246,Professor Fauci,
Q88978852,"Messonnier, Nancy",
Q4768787,"Schuchat, Anne MD",
Q31213302,"Adams, Jerome",
Q105103846,"Harper, Jill",
Q6137050,"Gilman, James",
Q105099466,"Palmore, Tara",
Q28530101,"Cochran, Norris",
Q573246,"Fauci, Anthany",
Q7609399,"Hahn, Stephen",
Q89108863,"Graham, Barney",
Q4977719,"Tromberg, Bruce",
Q6832696,"McGinnis, J. Michael",
Q24239052,"Birx, Deborah L.",
Q87729570,Ramnik Xavier,
Q9196554,Professor Li Lanjuan,
Q37375884,Vincent Munster,
Q56425959,"Glass, Roger",
Q88101315,"Grogan, Joseph J.",
Q3018737,David M. Rubenstein,
Q573246,Prof. Anthony Fauci,
Q75682803,Dr. Eva K Lee,
Q106813255,"Dean, Charity",
Q16727586,"Borio, Luciana",
Q160157,Senator Lieberman,
Q66732898,Daszak,
Q4120165,Perelman School of Medicine,
Q3519875,NIAID/NIH,
Q939416,Lancet,
Q3519875,NIH/NIAD,
Q66096,Senate,
Q9684,NYT,
Q1342,"Pittsburgh, PA",
Q6956114,NYU Langone Health,
Q663596,Gilead,
Q6954312,Division of Intramural Research,
Q3519875,National Institute of Allergy and Infectious Discases,
Q11746,"Wuhan, China",
Q49112,Yale,
Q100,"Boston, MA",
Q6973757,NIH Clinical Center,
Q164746,WSJ,
Q4915100,OS/ASPR/BARDA,
Q13977,Bloomberg,
Q49115,Cornell,
Q204711,"FDA,",
Q11746,wuhan,
Q584451,"Bethesda,MD",
Q82069695,Wuhan coronavirus,
Q16837497,FNIH,
Q668,INDIA,
Q6279,BIDEN,
Q13371,Harvard,
Q90083933,GPMB,
Q5059684,NIH/CIT,
Q390551,National Institute of Health,
Q584451,"Bethesda, Md.",
Q30281928,KCDC,
Q300033,ATPases,
Q1472663,UAB,
Q984155,"Folsom, CA",
Q79435,Lake Havasu,
Q79435,Havasu City,
Q58696,MOHAVE COUNTY,
Q58684,Coconino,
Q23556,"Atlanta, GA",
Q49233,"Orlando, FL",
Q7621808,National Stockpile,
Q176480,DOUGHERTY COUNTY,
Q23556,"Atlanta, Georgia",
Q18013,"Sacramento, CA",
Q203263,Athens-Clarke,
Q43788,"Madison, WI",
Q6375399,Oregon Governor Kate Brown,
Q16554,Denver CO,
Q16997846,Mimecast Ltd,
Q30268687,NACHC,
Q1156,India Mumbai,
Q1361,India Hyderabad,
Q23768,City of Las Vegas,
Q17039493,Leprino,
Q1036056,CARGILL,
Q7020906,Nexstar organization,
Q988279,"Wenatchee, East",
Q624686,University Monterey Bay,
Q49256,"Bakersfield, CA",
Q745120,"St. Joseph, MO",
Q60161886,Mark Scimone,
Q22686,PRESIDENT TRUMP,
Q461391,Gov. Gavin Newsom,
Q16556,PHOENIX,
Q66096,U.S. Senate,
