WikidataID,itemLabel,en_description,sitelinks
Q4709390,Albany State University,"public university located in Albany, Georgia, United States",4
Q41087,Raleigh,city in and state capital of North Carolina,120
Q169943,San Mateo,"city in San Mateo County, California, United States",52
Q108117,Marin County,"county in California, United States",78
Q1223,Washington,state of the United States of America,206
Q1428,Georgia,state of the United States of America,216
Q583725,Centers for Disease Control and Prevention,national public health agency of the United States of America,44
Q41057,Topeka,"capital of the state of Kansas, United States; county seat of Shawnee County",118
Q491748,Deloitte,professional services network,46
Q188515,Los Angeles Times,"daily newspaper published in Los Angeles, California",57
Q99,California,state of the United States of America,260
Q25110689,International Society for Infectious Diseases,non-profit health organization,1
Q812,Florida,state in the southeastern United States,235
Q61,"Washington, D.C.",capital city of the United States of America,274
Q506921,St. Tammany Parish,"parish in Louisiana, United States of America",43
Q484678,Berkeley,"city in Alameda County, California, United States",88
Q2331865,Coachella Valley,valley in southern California,19
Q913543,Watsonville,city in California,43
Q168756,"University of California, Berkeley","public research university in Berkeley, California, United States",83
Q108106,Santa Barbara County,"county in southern California, United States",63
Q3382998,State University System of Florida,Public university system in Florida,3
Q37043,Tallahassee,"county seat of Leon County, Florida, USA and Florida federated state capital city",128
Q327515,Laramie,"city in and county seat of Albany County, Wyoming, United States",55
Q1003662,Dahlonega,"city in Lumpkin, Georgia, United States",38
Q1021681,Ypsilanti,"city in Washtenaw County, Michigan, United States",41
Q99607345,Lisa Villarroel,researcher,0
Q92526268,Brianna A Barrios,researcher (ORCID 0000-0001-9527-8002),0
Q355522,Mitch McConnell,"United States Senator from Kentucky, Senate Minority Leader",63
Q93039732,Larry Hanson,researcher (ORCID 0000-0001-9362-7416),0
Q1001,Mahatma Gandhi,pre-eminent leader of Indian nationalism during the British Raj,257
Q16731303,Larry Hogan,American politician,27
Q91938020,Darcie C Johnston,researcher (ORCID 0000-0002-1403-5242),0
Q3105215,Ron DeSantis,American politician; 46th governor of Florida,31
Q90626534,Kacy Crawford,researcher (ORCID 0000-0002-5382-7699),0
Q16730147,Jake Sullivan,American government official,22
Q21061985,Elizabeth Sherwood-Randall,American government official,3
Q618727,Thomas E. Donilon,American National Security Advisor,16
Q3702047,Denis McDonough,U.S. government official,29
Q7183630,Philip Gordon,American government official,4
Q4886347,Ben Rhodes,American speechwriter,13
Q28445568,Tommy Vietor,American spokesman and podcast host,4
Q3176689,Jeffrey D. Feltman,American diplomat,7
Q23050162,Alice Wells,American diplomat,3
Q6759873,Margaret Scobey,American diplomat,3
Q7365042,Ronald L. Schlicher,American diplomat (1956-2019),2
Q433742,Anne W. Patterson,United States Department of State official and diplomat,11
Q16886217,Matthew H. Tueller,"Diplomat, United States Ambassador to Kuwait",5
Q7680777,Tamara Cofman Wittes,U.S. government civil servant,2
Q104784118,Greta Holtz,American diplomat,2
Q469222,Huma Abedin,long-time aide to Hillary Rodham Clinton,22
Q106178516,Yael Lempert,American diplomat,3
Q4118531,Gene Cretz,American diplomat,5
Q3161915,Janet A. Sanderson,American diplomat,3
Q1569513,Marc Grossman,American diplomat,5
Q104857238,Uzra Zeya,American diplomat,4
Q62016690,Kamala Shirin Lakhdhir,American diplomat,2
Q463641,James Steinberg,American diplomat,10
Q948920,Patrick J. Kennedy,"American politician, Rhode Island",16
Q5092756,Cheryl Mills,American lawyer,3
Q21932139,Tina Kaidanow,American diplomat,3
Q12061545,Nancy McEldowney,American diplomat,4
Q6154267,Janice L. Jacobs,American diplomat,2
Q1441708,"Francis J. Ricciardone, Jr.",American diplomat,7
Q7351533,Roberta S. Jacobson,American diplomat,5
Q4169153,Wendy Sherman,American diplomat,15
Q3810992,Judith McHale,American government official,6
Q1702273,Johnnie Carson,American diplomat,5
Q15429937,Rosemary DiCarlo,American diplomat,8
Q17318953,Gayle E. Smith,American civil servant and global development advisor,2
Q23887956,Erica Barks-Ruggles,US Ambassador to Rwanda,2
Q1240513,Donald Yamamoto,American diplomat,7
Q2898783,Daniel B. Shapiro,"diplomat, Ambassador of the United States of America",6
Q7610057,Stephen Mull,American diplomat,5
Q7793367,Thomas R. Nides,American government official,6
Q85795031,Puneet Talwar,American diplomat,2
Q7821917,Antony Blinken,American government official and 71th U.S. Secretary of State,58
Q261147,Barbara Mikulski,American politician,29
Q50612,Susan Rice,24th United States National Security Advisor,41
Q105061626,Salman Ahmed,American advisor,2
Q4532848,Esther Brimmer,American civil servant,3
Q22003782,Bathsheba Nell Crocker,American diplomat,1
Q5294424,Donald Gips,American diplomat,2
Q6390162,Kenneth H. Merten,American diplomat,3
Q6294,Hillary Clinton,American politician,175
Q6833593,Michael Posner,American human rights lawyer,5
Q6830857,Michael H. Corbin,American diplomat,2
Q106512571,Steven C. Bondy,American diplomat,3
Q6792602,Maura Connelly,American diplomat,2
Q510988,Julissa Reynoso Pantaleón,American lawyer,11
Q1346811,Philip J. Crowley,Public affairs official,6
Q3304911,Melanne Verveer,American diplomat,5
Q28972111,Mark Toner,Former Deputy Spokesperson for the U.S. Department of State,2
Q368920,George John Mitchell Jr.,American politician,30
Q5042478,Carlos Pascual,American diplomat,5
Q16727805,Piper Anne Wind Campbell,American diplomat,2
Q4801814,Arturo Valenzuela,American political official,3
Q6119424,Jacob Walles,American diplomat,1
Q16731786,Joseph Macmanus,American diplomat,2
Q6446882,Kurt M. Campbell,American diplomat,10
Q348185,James B. Cunningham,American diplomat,8
Q76882726,Thomas H. Goldberger,American diplomat,2
Q6575375,Daniel Rubinstein,American diplomat,4
Q27450682,Lois Quam,American businessperson,1
Q1274250,Rajiv Shah,American government official,5
Q5386597,Eric Goosby,American AIDS activist and researcher,4
Q7329655,Richard Verma,former American Ambassador to India,5
Q1677579,Jack Lew,76th United States Secretary of the Treasury,28
Q4974422,Brooke D. Anderson,American diplomat,3
Q155649,Richard Holbrooke,American diplomat (1941-2010),52
Q7154188,Paul W. Jones,American diplomat,4
Q7184879,Philippe Reines,aide to Hillary Clinton,3
Q1287886,Strobe Talbott,American foreign policy analyst,15
Q459624,Ellen Tauscher,American politician (1951-2019),12
Q6437240,Kris M. Balderston,Special Representative for Global Partnerships at the U.S. State Department,1
Q7345617,Robert Hormats,American government official,4
Q465477,Anne-Marie Slaughter,"American academic, foreign policy analyst, and public commentator",11
Q19864563,Derek Chollet,American government official and foreign policy advisor,2
Q1290476,John Podesta,former White House Chief of Staff,23
Q244631,Leon Panetta,"American politician, Secretary of Defense 2011–2013",40
Q71371916,W. Patrick Murphy,American diplomat,3
Q3023757,Derek Mitchell,American diplomat,5
Q105047098,Maher Bitar,US government official,3
Q50436814,Samantha Vinograd,American foreign policy commentator (born 1983),2
Q22316,John Kerry,68th United States Secretary of State,105
Q3483318,Sidney Blumenthal,American political writer,6
Q298443,Rahm Emanuel,"politician, investment banker, White House Chief of Staff",40
Q76,Barack Obama,"44th president of the United States, from 2009 to 2017",314
Q1124,Bill Clinton,"42nd president of the United States, from  1993 to 2001",200
Q18761827,Joseph Y. Yun,American diplomat,8
Q20645208,Kin W. Moy,US diplomat,4
Q28591,David Petraeus,retired United States Army officer and public official,48
Q4496,Mitt Romney,United States Senator from Utah,102
Q907913,Harold Hongju Koh,American lawyer,8
Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),161
Q1188501,Victoria Nuland,American diplomat,32
Q3657872,Capricia Marshall,American lawyer,5
Q6830434,Michael Froman,US Trade representative,10
Q105677048,David Turk,American lawyer and government official,2
Q437599,Todd Stern,American sustainability advocate,7
Q16204473,Daniel Baer,American diplomat,4
Q105306790,Tim Lenderking,American diplomat,3
Q66107,Henry Kissinger,United States Secretary of State,117
Q19564219,Bernadette Meehan,American diplomat,1
Q1805535,Lanny Davis,"American lawyer, author, and lobbyist",5
Q5489289,Frank Ruggiero,American diplomat,1
Q2054872,Cameron Munter,American diplomat,6
Q105667,Catherine Ashton,British politician (born 1956),58
Q311211,Timothy Geithner,American central banker and politician,35
Q57673,Nouri al-Maliki,Prime Minister of Iraq from 2006 to 2014,60
Q170581,Nancy Pelosi,Speaker of the United States House of Representatives,92
Q43944,Hamid Karzai,former president of Afghanistan,105
Q5300269,Doug Band,American presidential advisor,3
Q6986921,Neera Tanden,American political consultant,21
Q44329,Bashar al-Assad,President of Syria,128
Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,162
Q311205,Chen Guangcheng,Chinese dissident lawyer,33
Q10390,John McCain,American politician (1936-2018),125
Q57741,Salam Fayyad,Palestinian politician,33
Q82437552,Simon Henshaw,former U.S. ambassador to Guinea (1960-2020),6
