WikidataID,itemLabel,sitelinks
Q713750,West Germany,108
Q159,Russia,394
Q56036,West Berlin,65
Q56036,West Berlin,w
Q8908,Council of Europe,119
Q899,Suez Canal,159
Q7204,Middle East,216
Q7204,Middle East,w
Q38,Italy,383
Q350134,North Atlantic Ocean,8
Q15180,Soviet Union,248
Q16957,German Democratic Republic,142
Q16957,German Democratic Republic,w
Q379850,Central Treaty Organization,45
Q7388468,SACLANT ASW Research Centre,2
Q12800833,NATO Headquarters,10
Q125761,International Civil Aviation Organization,78
Q1182587,Defence Research and Development Canada,6
Q1410,Gibraltar,201
Q4345530,Northern Italy,41
Q1137023,Council of Economic Advisers,20
Q183644,Pravda,67
Q36,Poland,366
Q846903,Northern Army Group,9
Q28,Hungary,325
Q60,New York City,299
Q877399,North Atlantic Treaty,53
Q10690,Cardiff,143
Q2894411,Belgrave Square,12
Q41644,Warsaw Pact,108
Q597,Lisbon,241
Q3550747,U.S. Naval Forces Southern Command,6
Q6952580,NATO Communications and Information Systems Services Agency,3
Q1377612,European Payments Union,10
Q816210,Danish straits,28
Q834195,Treaty on Conventional Armed Forces in Europe,25
Q36704,Yugoslavia,156
Q36704,Yugoslavia,w
Q537388,Standing NATO Maritime Group One,12
Q83286,Socialist Federal Republic of Yugoslavia,88
Q183219,International Criminal Tribunal for the former Yugoslavia,52
Q148,People's Republic of China,371
Q159470,Kosovo Force,36
Q594846,Palace of Nations,33
Q740308,UNICEF,105
Q487526,United Nations Development Fund for Women,26
Q131878,United Nations Institute for Training and Research,16
Q636107,United Nations Office on Drugs and Crime,40
Q132551,United Nations High Commissioner for Refugees,77
Q12199,HIV/AIDS,189
Q204344,World Food Programme,75
Q5187,Chechen Republic,163
Q37143,G8,95
Q217172,Cooperation Council for the Arab States of the Gulf,56
Q458,European Union,290
Q656812,Office of the High Commissioner for Human Rights,52
Q854218,United Nations System,27
Q1187686,United Nations Sustainable Development Group,18
Q48742387,United Nations General Assembly Fifth Committee,2
Q47423,United Nations General Assembly,101
Q2265515,United Nations Office of Internal Oversight Services,7
Q205650,United Nations Human Rights Council,58
Q1070940,Asia-Pacific,45
Q680212,United Nations Office at Geneva,24
Q683,Samoa,240
Q238752,Barbuda,67
Q403,Serbia,327
Q236,Montenegro,297
Q227,Azerbaijan,341
Q232,Kazakhstan,318
Q214,Slovakia,321
Q710,Kiribati,227
Q215,Slovenia,311
Q184,Belarus,333
Q211,Latvia,310
Q37,Lithuania,326
Q213,Czech Republic,333
Q874,Turkmenistan,275
Q191,Estonia,332
Q924,Tanzania,287
Q265,Uzbekistan,281
Q686,Vanuatu,238
Q230,Georgia,318
Q228,Andorra,312
Q7888369,United Nations Department for Safety and Security,4
Q7888475,United Nations Office for Partnerships,2
Q643988,United Nations Mission in Sierra Leone,14
Q487859,United Nations Mission in Sudan,17
Q170418,World Economic Forum,76
Q191703,Organisation of African Unity,53
Q191703,Organisation of African Unity,w
Q7159,African Union,149
Q2740749,United Nations Fund for International Partnerships,8
Q1622260,United Nations Foundation,5
Q504557,United Nations Interim Administration Mission in Kosovo,36
Q356037,United Nations Capital Development Fund,10
Q81737,Millennium Development Goal,53
Q376150,International Telecommunication Union,73
Q47488,International Criminal Court,99
Q12156,malaria,170
Q68097,Davos,93
Q844845,Doha Development Round,20
Q156053,Srebrenica,61
Q568879,Special Court for Sierra Leone,23
Q1065854,United Nations Office for the Coordination of Humanitarian Affairs,34
Q1191533,United Nations Radio,13
Q43079362,African Group,3
Q1781195,United Nations Assistance Mission in Afghanistan,18
Q42970,Amnesty International,99
Q267941,Oxfam,39
Q8969,Cancun,93
