WikidataID,itemLabel,sitelinks
Q970,ouvoimoja wakomori,254
Q970,the Comoros,254
Q970,Udzima wa Komori,254
Q970,Union des Comores,254
Q970,Union of the Comoros,254
Q971,Congo,265
Q176495,Ständestaat,22
Q178038,Spain,66
Q39473,Siebenbürgen,112
Q37024,Serbia-Montenegro,112
Q180573,South Vietnam,79
Q43,Türkiye Cumhuriyeti,377
Q45,Portuguese Republic,338
Q45,PRT,338
Q45,PT,338
Q45,🇵🇹,338
Q180393,Due Sicilie,68
Q180393,Kingdom of Two Sicilies,68
Q180393,Regno delle Due Sicilie,68
Q180393,Two Sicilies,68
Q180393,Two Sicilies kingdom,68
Q172640,Democratic Republic of Vietnam,70
Q172640,Vietnam (North),70
Q173065,Kingdom of Sicily,72
Q173065,Regno di Napoli,72
Q173065,"Sicily, Kingdom of",72
Q40362,🇪🇭,108
Q40362,SADR,108
Q40362,Saharaui Arab Democratic Republic,108
Q40362,Saharawi Arab Democratic Republic,108
Q657946,Kolhâpur,13
Q661340,Salzburg,23
Q662653,Somaliland,39
Q671658,Republic of Yucatan,20
Q684030,Kneževina Srbija,37
Q684030,Serb Principality,37
Q684030,Serbian Principality,37
Q43,TR,377
Q43,Republic of Turkey,377
Q43,🇹🇷,377
Q43,TUR,377
Q43,Türkiye,377
Q174193,Britain,73
Q174193,United Kingdom,73
Q174193,UK,73
Q174193,GB,73
Q174193,Great Britain and Ireland,73
Q174193,the United Kingdom,73
Q174193,UKGBI,73
Q175379,Chinese Empire,25
Q491106,Khiva,52
Q45,República Portuguesa,338
Q55,NL,345
Q55,Holland,345
Q55,Nederland,345
Q55,NED,345
Q55,nl,345
Q55,the Netherlands,345
Q55,🇳🇱,345
Q34754,Republic of Somaliland,139
Q182647,Chorasmia,70
Q182647,Corasmia,70
Q182647,Khvarezm,70
Q182647,Khvarezmia,70
Q182647,Khwarazm,70
Q182647,Khwaremia,70
Q40,AT,346
Q40,AUT,346
Q40,at,346
Q40,aut,346
Q40,Österreich,346
