WikidataID,itemLabel,sitelinks
Q252,IDN,337
Q252,Republic of Indonesia,337
Q368,Augusto Pinochet Ugarte,118
Q138578,"Hoboken, New Jersey",68
Q138578,"Hoboken, NJ",68
Q147989,Joaquin Antonio Balaguer Ricardo,37
Q147989,Joaquin Balaguer,37
Q150688,José de la Cruz Porfirio Diaz Mori,74
Q150688,Porfirio Diaz,74
Q368,Augusto José Ramón Pinochet Ugarte,118
Q475,Eduardo Nicanor Frei Montalva,42
Q517,Napoleon Bonaparte,263
Q517,Napoleon I,263
Q517,Napoleon I of France,263
Q517,Napoleone Buonaparte,263
Q517,Napoléon Bonaparte,263
Q517,The Little Corporal,263
Q517,Emperador de Francia Napoleón I,263
Q517,emperador dels francesos Napoleó I,263
Q517,Empereur des Français Napoléon I,263
Q517,Little Corporal,263
Q387614,Count von Beust,23
Q435375,Alexander Walewski,23
Q435375,Alexandre Colonna Walewski,23
Q435375,"Alexandre Florian Joseph, comte",23
Q435375,Alexandre Joseph Colonna Walewski,23
Q435375,Alexandre Joseph Colonna-Walewski,23
Q435375,Count Alexander Walewski,23
Q435375,Count Alexandre Colonna-Walewski,23
Q435375,Count Alexandre Joseph Colonna-Walewski,23
Q435375,Duke Alexandre Walewski,23
Q164723,Charles Cornwallis,44
Q164723,Cornwallis,44
Q164723,The Earl Cornwallis,44
Q164723,The Most Honourable The Marquess Cornwallis,44
Q164723,Viscount Brome,44
Q166598,Satow,21
Q166598,E.M. Satow,21
Q166598,Sir Ernest Mason Satow,21
Q173897,J. B. Moore,10
Q173897,John B. Moore,10
Q173897,John Basset Moore,10
Q151414,George C. Marshall,100
Q151414,George Catlett Marshall,100
Q151414,"George Catlett Marshall, Jr.",100
Q471690,ANDOK,37
Q485186,"Key West, FL",74
Q485186,"Key West, Florida",74
Q486306,"Pensacola, Florida",71
Q486306,"Pensacola, FL",71
Q486306,"Pensacola, Fla",71
Q487723,Anatoly Fyodorovich Dobrynin,25
Q487907,BoA,56
Q487907,BofA,56
Q487907,Bank of America Corporation,56
Q151929,Eduard Ambrosis dze Shevardnadze,96
Q378517,Yizhai,41
Q378517,Wenzhong,41
Q378517,Yisou,41
Q378517,Zifu,41
Q378517,Jianfu,41
Q378517,Shaoquan,41
Q378517,Banxianju,41
Q378517,Li Hongzhang,41
Q378517,Li Hung Chang,41
Q378517,Li Zhangtong,41
Q378517,Xiaocanglangting,41
Q378517,Xuhongzhang,41
Q379787,Joan Prim,46
Q379787,Juan Prim,46
Q379787,Juan Prim y Prats,46
Q801,il,352
Q801,🇮🇱,352
Q801,ISR,352
Q801,State of Israel,352
Q801,the Jewish state,352
Q801,IL,352
Q668,Bharat Ganarajya,377
Q794,Persia,356
Q3140,Hudson,90
Q5030,La Villa del Undoso,18
Q5413,Blue River,155
Q5413,Jiang,155
Q5413,Chang Jiang,155
Q5413,Kiang,155
Q5413,Kian,155
Q5413,Kyang,155
Q5413,Changjiang,155
Q5413,Chang Jiang River,155
Q5413,Changjiang River,155
Q5413,Jiang River,155
Q5413,Kiang River,155
Q5413,Kyang River,155
Q5413,Yan-tse,155
Q5413,Yan-tse-kian,155
Q5413,Yang-tse,155
Q5413,Yang-tse River,155
Q5413,Yang-tsze,155
Q5413,Yang-tsze-kiang,155
Q5413,Yang-tze,155
Q5413,Yang-tze River,155
Q5413,Yangtse River,155
Q5413,Yangtsze River,155
Q5413,Yangtze River,155
Q5413,Yangzi,155
Q5413,Yangzi River,155
Q5413,Yantse Kiang,155
Q517,Napoleon Buonaparte,263
Q517,Napoleone Bonaparte,263
Q517,Napoleone di Buonaparte,263
Q517,Napoleone I,263
Q517,Napulione Buonaparte,263
Q517,Napulione di Buonaparte,263
Q517,the Corsican Napolean,263
Q668,IND,377
Q668,IN,377
Q668,Bharat,377
Q794,🇮🇷,356
Q794,ir,356
Q794,irn,356
Q794,Islamic Rep. Iran,356
Q794,Islamic Republic of Iran,356
Q183416,South-East Caribbean,47
Q183416,Windward Islands (southern part),47
Q188489,Île du Cap-Breton,71
Q5413,Yangtzekiang,155
Q5413,Ch'ang Chiang,155
Q5492,Erie,96
Q5764,Bouchara,118
Q5764,Buxoro,118
Q5764,Boukhara,118
Q5783,Andalucia,163
Q5783,Andalucía,163
Q7355,Hoang-ho,144
Q7355,Hoan-ho,144
Q7355,Huang He River,144
Q7355,Huanghe River,144
