"","item","itemLabel","bioid"
"168","http://www.wikidata.org/entity/Q120613","Martin Emerich","E000170"
"169","http://www.wikidata.org/entity/Q120699","Alphonzo E. Bell, Jr.","B000330"
"170","http://www.wikidata.org/entity/Q122580","Samuel E. Cook","C000727"
"171","http://www.wikidata.org/entity/Q122832","Lawrence Henry Smith","S000585"
"172","http://www.wikidata.org/entity/Q122934","George R. Riddle","R000239"
"173","http://www.wikidata.org/entity/Q123223","William Porcher Miles","M000707"
"174","http://www.wikidata.org/entity/Q123799","Norton Strange Townshend","T000338"
"175","http://www.wikidata.org/entity/Q125182","Robert Bullock","B001052"
"176","http://www.wikidata.org/entity/Q125640","Stephen Pace","P000002"
"177","http://www.wikidata.org/entity/Q126264","Berkeley L. Bunker","B001061"
"178","http://www.wikidata.org/entity/Q126613","James Breckinridge","B000785"
"179","http://www.wikidata.org/entity/Q126644","Solomon Porcius Sharp","S000295"
"180","http://www.wikidata.org/entity/Q127181","Isaac Edward Holmes","H000738"
"181","http://www.wikidata.org/entity/Q127192","Jesse Martin Combs","C000655"
"182","http://www.wikidata.org/entity/Q127524","Edward H. Rollins","R000411"
"183","http://www.wikidata.org/entity/Q127597","Jabez Upham","U000023"
"184","http://www.wikidata.org/entity/Q127713","Thomas G. Morris","M000990"
"185","http://www.wikidata.org/entity/Q129348","James Monroe","M000857"
"186","http://www.wikidata.org/entity/Q129351","William A. Harris","H000257"
"187","http://www.wikidata.org/entity/Q129399","Charles W. Whalen","W000317"
"188","http://www.wikidata.org/entity/Q129412","Townsend Scudder","S000202"
"189","http://www.wikidata.org/entity/Q129430","Thomas Taber II","T000003"
"190","http://www.wikidata.org/entity/Q129440","Archibald Austin","A000340"
"191","http://www.wikidata.org/entity/Q129442","William M. McCarty","M000322"
"192","http://www.wikidata.org/entity/Q129445","Selah B. Strong","S001016"
"193","http://www.wikidata.org/entity/Q129693","Henry B. Metcalfe","M000673"
"194","http://www.wikidata.org/entity/Q129710","Stephen Taber","T000002"
"195","http://www.wikidata.org/entity/Q129719","William Valk","V000007"
"196","http://www.wikidata.org/entity/Q129725","Henry Joel Scudder","S000197"
"197","http://www.wikidata.org/entity/Q129732","William Armstrong","A000284"
"198","http://www.wikidata.org/entity/Q129741","Martin Wiley Littleton","L000359"
"199","http://www.wikidata.org/entity/Q129751","Joseph M. Belford","B000327"
