,WikidataID,itemLabel,sitelinks
334,Q855,Joey Stalin,256
335,Q855,Josef Stalin,256
336,Q855,Joseph Vissarionovich Stalin,256
337,Q855,Joseph Vissarionovitch Stalin,256
338,Q855,Yosif Dzhugashvili,256
339,Q9916,Ike,177
340,Q9916,D. Eisenhower,177
341,Q9916,David Dwight Eisenhower,177
342,Q9916,"Dwight David ""Ike"" Eisenhower",177
343,Q9916,Dwight David Eisenhower,177
344,Q9916,Dwight Eisenhower,177
345,Q9916,Eisenhower,177
346,Q9916,President Eisenhower,177
347,Q9916,"Eisenhower, Dwight D. (Dwight David), 1890-1969",177
348,Q9960,President Reagan,303
349,Q8007,President Roosevelt,218
350,Q8007,FDR,218
351,Q8007,Roosevelt,218
352,Q8007,Franklin D. Roosevelt,218
353,Q8007,Franklin Roosevelt,218
354,Q8007,F. D. R.,218
355,Q8007,F. D. Roosevelt,218
356,Q8016,David Winter,239
357,Q8440,The Commander,182
358,Q8440,Hugo Chavez,182
359,Q8440,Hugo Rafael Chavez Frias,182
360,Q8440,Hugo Rafael Chavez Frías,182
361,Q8440,Hugo Rafael Chávez Frías,182
362,Q8440,Hugo Chávez Frías,182
363,Q8573,Yixian,138
364,Q8573,Zhongshan,138
365,Q8573,Guofu,138
366,Q8573,Sun Zhongshan,138
367,Q8573,Sun Rixin,138
368,Q8573,Sun Wen,138
369,Q8573,Yìxiān,138
370,Q8573,Dr. Sun Yat-sen,138
371,Q8573,Gémìng Xiānxíngzhě,138
372,Q8573,Guófù,138
373,Q8573,Nakayama Shō,138
374,Q8573,Suen Yat-sen,138
375,Q8573,Suen Yat-sun,138
376,Q9545,Tony Blair,150
377,Q9545,Anthony Blair,150
378,Q9545,Anthony Charles Lynton Blair,150
379,Q9545,Rt. Hon. Anthony Charles Lynton Blair,150
380,Q9545,Sir Anthony Charles Lynton Blair,150
381,Q9545,Sir Tony Blair,150
382,Q9545,The Rt. Hon. Sir Anthony Charles Lynton Blair PC KC,150
383,Q4414,Faure Essozimna Gnassingbe Eyadema,64
384,Q4414,Faure Essozimna Gnassingbé Eyadéma,64
385,Q4414,Faure Eyadema,64
386,Q4414,Faure Eyadéma,64
387,Q4414,Fauré Eyadéma,64
388,Q4414,Faure Gnassingbe,64
