"","item","itemLabel","bioid"
"152","http://www.wikidata.org/entity/Q354099","Millard Evelyn Tydings","T000446"
"153","http://www.wikidata.org/entity/Q354194","Adelbert Ames","A000172"
"154","http://www.wikidata.org/entity/Q354721","Roger Sherman","S000349"
"155","http://www.wikidata.org/entity/Q355444","Ambrose Burnside","B001130"
"156","http://www.wikidata.org/entity/Q355764","Edward Martin","M000177"
"157","http://www.wikidata.org/entity/Q355894","John Melcher","M000635"
"158","http://www.wikidata.org/entity/Q355999","Horace Chilton","C000357"
"159","http://www.wikidata.org/entity/Q356029","Herman Talmadge","T000035"
"160","http://www.wikidata.org/entity/Q356342","Kenneth Keating","K000036"
"161","http://www.wikidata.org/entity/Q356475","Russ Feingold","F000061"
"162","http://www.wikidata.org/entity/Q356786","Joseph M. Terrell","T000131"
"163","http://www.wikidata.org/entity/Q356810","M. Hoke Smith","S000551"
"164","http://www.wikidata.org/entity/Q357353","Herschel Vespasian Johnson","J000139"
"165","http://www.wikidata.org/entity/Q357499","Key Pittman","P000372"
"166","http://www.wikidata.org/entity/Q357506","Joseph E. Brown","B000936"
"167","http://www.wikidata.org/entity/Q357511","Olin D. Johnston","J000195"
"168","http://www.wikidata.org/entity/Q357646","James Jackson","J000017"
"169","http://www.wikidata.org/entity/Q357713","Josiah Tattnall","T000052"
"170","http://www.wikidata.org/entity/Q357718","Brock Adams","A000031"
"171","http://www.wikidata.org/entity/Q357721","Wilson Lumpkin","L000512"
"172","http://www.wikidata.org/entity/Q357725","Robert Woodward Barnwell","B000168"
"173","http://www.wikidata.org/entity/Q357728","George Troup","T000382"
"174","http://www.wikidata.org/entity/Q358277","James C. Jones","J000229"
"175","http://www.wikidata.org/entity/Q358437","Bill Nelson","N000032"
"176","http://www.wikidata.org/entity/Q358443","Jeff Sessions","S001141"
"177","http://www.wikidata.org/entity/Q358467","Park Trammell","T000353"
"178","http://www.wikidata.org/entity/Q358916","Matthias Ward","W000138"
"179","http://www.wikidata.org/entity/Q359265","David C. Broderick","B000857"
"180","http://www.wikidata.org/entity/Q359294","John J. McRae","M000596"
"181","http://www.wikidata.org/entity/Q359366","Daniel Akaka","A000069"
"182","http://www.wikidata.org/entity/Q359442","Bernie Sanders","S000033"
"183","http://www.wikidata.org/entity/Q359450","Walter Leake","L000177"
"184","http://www.wikidata.org/entity/Q359526","John W. Stevenson","S000894"
"185","http://www.wikidata.org/entity/Q359888","Tim Kaine","K000384"
"186","http://www.wikidata.org/entity/Q360401","William Morris Stewart","S000922"
"187","http://www.wikidata.org/entity/Q361139","Wendell H. Ford","F000268"
"188","http://www.wikidata.org/entity/Q361245","David Settle Reid","R000144"
"189","http://www.wikidata.org/entity/Q361373","Earle C. Clements","C000506"
"190","http://www.wikidata.org/entity/Q362480","Dean Barkley","B001237"
"191","http://www.wikidata.org/entity/Q362840","William Bradley Umstead","U000005"
"192","http://www.wikidata.org/entity/Q363055","Arlen Specter","S000709"
"193","http://www.wikidata.org/entity/Q363079","Richard Lugar","L000504"
"194","http://www.wikidata.org/entity/Q363276","Allen Joseph Ellender","E000112"
"195","http://www.wikidata.org/entity/Q363974","Matthew M. Neely","N000023"
"196","http://www.wikidata.org/entity/Q364746","Mark Andrews","A000208"
"197","http://www.wikidata.org/entity/Q364769","John Pope","P000431"
"198","http://www.wikidata.org/entity/Q364793","Arthur Capper","C000133"
"199","http://www.wikidata.org/entity/Q4496","Mitt Romney","R000615"
"200","http://www.wikidata.org/entity/Q6279","Joe Biden","B000444"
"201","http://www.wikidata.org/entity/Q6294","Hillary Clinton","C001041"
"202","http://www.wikidata.org/entity/Q8612","Andrew Johnson","J000116"
"203","http://www.wikidata.org/entity/Q9588","Richard Nixon","N000116"
"204","http://www.wikidata.org/entity/Q9640","Lyndon B. Johnson","J000160"
"205","http://www.wikidata.org/entity/Q9696","John F. Kennedy","K000107"
"206","http://www.wikidata.org/entity/Q10390","John McCain","M000303"
"207","http://www.wikidata.org/entity/Q11595","John Adair","A000026"
"208","http://www.wikidata.org/entity/Q11613","Harry S. Truman","T000387"
"209","http://www.wikidata.org/entity/Q11815","James Monroe","M000858"
"210","http://www.wikidata.org/entity/Q11816","John Quincy Adams","A000041"
"211","http://www.wikidata.org/entity/Q11817","Andrew Jackson","J000005"
"212","http://www.wikidata.org/entity/Q11820","Martin Van Buren","V000009"
"213","http://www.wikidata.org/entity/Q11869","William Henry Harrison","H000279"
"214","http://www.wikidata.org/entity/Q11881","John Tyler","T000450"
"215","http://www.wikidata.org/entity/Q12312","Franklin Pierce","P000333"
"216","http://www.wikidata.org/entity/Q12325","James Buchanan","B001005"
"217","http://www.wikidata.org/entity/Q15466","William Thomas Hamilton","H000118"
"218","http://www.wikidata.org/entity/Q16476","Mazie Hirono","H001042"
"219","http://www.wikidata.org/entity/Q16807","Leonard B. Jordan","J000269"
"220","http://www.wikidata.org/entity/Q17889","John Middleton Clayton","C000496"
"221","http://www.wikidata.org/entity/Q19673","Al Gore","G000321"
"222","http://www.wikidata.org/entity/Q22201","Jim DeMint","D000595"
"223","http://www.wikidata.org/entity/Q22212","Lindsey Graham","G000359"
"224","http://www.wikidata.org/entity/Q22222","Kirsten Gillibrand","G000555"
"225","http://www.wikidata.org/entity/Q22237","Amy Klobuchar","K000367"
"226","http://www.wikidata.org/entity/Q22250","Maria Cantwell","C000127"
"227","http://www.wikidata.org/entity/Q22260","Claire McCaskill","M001170"
"228","http://www.wikidata.org/entity/Q22279","Susan Collins","C001035"
"229","http://www.wikidata.org/entity/Q22290","Olympia Snowe","S000663"
"230","http://www.wikidata.org/entity/Q22316","John Kerry","K000148"
"231","http://www.wikidata.org/entity/Q22338","Mary Landrieu","L000550"
"232","http://www.wikidata.org/entity/Q22354","Kelly Ayotte","A000368"
"233","http://www.wikidata.org/entity/Q22360","Lisa Murkowski","M001153"
"234","http://www.wikidata.org/entity/Q24053","Maggie Hassan","H001076"
"235","http://www.wikidata.org/entity/Q25310","Robert F. Kennedy","K000114"
"236","http://www.wikidata.org/entity/Q25483","Todd Young","Y000064"
"237","http://www.wikidata.org/entity/Q31112","Bill Frist","F000439"
"238","http://www.wikidata.org/entity/Q35286","Warren G. Harding","H000192"
"239","http://www.wikidata.org/entity/Q35678","Benjamin Harrison","H000263"
"240","http://www.wikidata.org/entity/Q39718","Bob Kerrey","K000146"
"241","http://www.wikidata.org/entity/Q40628","Tammy Baldwin","B001230"
"242","http://www.wikidata.org/entity/Q44690","Lincoln Chafee","C001040"
"243","http://www.wikidata.org/entity/Q45940","James Lankford","L000575"
"244","http://www.wikidata.org/entity/Q49214","Dan Quayle","Q000007"
"245","http://www.wikidata.org/entity/Q49216","Walter Mondale","M000851"
"246","http://www.wikidata.org/entity/Q50597","Mary Kathryn Heitkamp","H001069"
"247","http://www.wikidata.org/entity/Q50599","Ted Stevens","S000888"
"248","http://www.wikidata.org/entity/Q50608","Trent Lott","L000447"
"249","http://www.wikidata.org/entity/Q59315","Patrick Leahy","L000174"
"250","http://www.wikidata.org/entity/Q60547","Warren Rudman","R000497"
"251","http://www.wikidata.org/entity/Q106231","Daniel Webster","W000238"
"252","http://www.wikidata.org/entity/Q108886","Harrison Schmitt","S000132"
"253","http://www.wikidata.org/entity/Q109463","Richard Mentor Johnson","J000170"
"254","http://www.wikidata.org/entity/Q116751","George Aiken","A000062"
"255","http://www.wikidata.org/entity/Q117651","John F. Lewis","L000285"
"256","http://www.wikidata.org/entity/Q118774","John Brown Gordon","G000313"
